Sales Category,Item Name,Modifier,,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
Food,,,,22.49,1802.9999950000001,40552.48,2140.5,38411.98,
Food,Dessert Trio,,,26,8,208,13,195,
Food,Classic Caesar Salad,,,15.64503105590062,94,1481,27.5,1453.5,
Food,Chitarra Cacio e Pepe,,,32.406702262708926,133,4310,104,4206,
Food,Fingerling Potatoes,,,8,8,64,0,64,
Food,Red wine special,,,88,3,264,44,220,
Food,Tagliata di Manzo,,,36,4,144,18,126,
Food,Tiramisu,,,12.272728012987754,70.999998,856,300,556,
Food,Ravioli del Salumiere,,,25.047777777777778,65,1640.5,0,1640.5,
Food,Side Sauce,,,3.357142857142857,14,44,0,44,
Food,APP SPECIAL,,,21.428571428571427,45,972,118,854,
Food,Marinated Olives,,,5.333333333333333,34,174,5,169,
Food,Broccolini,,,8.272727272727273,27,219,0,219,
Food,Finocchiona,,,12.5,3,37,0,37,
Food,Corvina and Fregola,,,38,7,266,57,209,
Food,Branzino,,,34.142857142857146,15,511,0,511,
Food,Taleggio,,,14,3,42,0,42,
Food,Eggplant Parmigiana,,,18.3,27,490,27,463,
Food,Bread,,,0,64,0,0,0,
Food,Fettuccine Nere,,,24.2,53,1275,42,1233,
Food,Prosciutto di Parma,,,14.2,9,127,7,120,
Food,Gelato,,,10,10,100,15,85,
Food,Cavatelli Pomodoro,,,21.453525641025642,60,1283,31.5,1251.5,
Food,Ossobuco,,,36,26,936,0,936,
Food,Ribeye,,,48.89728453364817,46,2236,216,2020,
Food,Kids Polpette,,,14,5,70,0,70,
Food,Prosciutto Cotto,,,11.5,2,23,0,23,
Food,Roasted Asparagus,,,8.375,12,99,0,99,
Food,Parma e Bufala Caprese,,,28.11111111111111,32,897,0,897,
Food,Lemon Pannacotta,,,12.333333333333334,10,123,0,123,
Food,Shrimp Skewers,,,29.569444444444443,13,386,43.5,342.5,
Food,Giardiniera,,,5.166666666666667,13,66,0,66,
Food,Mashed Potatoes,,,8.2,9,73,4,69,
Food,Kids Pasta,,,12,7,84,0,84,
Food,Brie,,,14.4,5,72,0,72,
Food,Burratina,,,18.1,34,614,18,596,
Food,Pasta,,,31.25,5,188,0,188,
Food,Pecorino Toscano,,,14.25,6,85,0,85,
Food,Mortadella,,,11.333333333333334,4,45,0,45,
Food,GRICIA,,,30.711111111111112,20,626,80,546,
Food,SOUP,,,12,17,204,18,186,
Food,Gorgonzola,,,14.5,2,29,0,29,
Food,Lasagna del Salumiere,,,22.333333333333332,72,1590,55,1535,
Food,Tagliatelle Bolognese,,,20.441558441558442,81,1633,30,1603,
Food,Spaghetti Alla Bottarga,,,28.2,8,225,0,225,
Food,Mixed Exotic Mushroom,,,8.272727272727273,14,115,0,115,
Food,Calamari,,,18.999688093438092,66.999999,1272.99,71.25,1201.74,
Food,Tagliolini Winter Truffle,,,48,16,768,48,720,
Food,Percorino al Tartufo,,,14,18,252,14,238,
Food,Angelo's Meatballs,,,18.357143000000143,93.999999,1699,18,1681,
Food,Tagliolini al Limone,,,28.542261267261267,71.999999,2046.49,143,1903.49,
Food,Salame Nostrano,,,12.333333333333334,3,37,0,37,
Food,Cheese Selection,,,29,11,319,14.5,304.5,
Food,Piovra,,,20.142857142857142,23,461,40,421,
Food,Filet Mignon,,,52.166666666666664,24,1256,52,1204,
Food,Bresaola,,,14,2,28,0,28,
Food,Coppa Dolce,,,12,3,36,0,36,
Food,Speck,,,12,2,24,0,24,
Food,Prosciutto San Daniele,,,14.2,6,85,0,85,
Food,Pork Milanese,,,32.3,27,869,32,837,
Food,Lamb Chop,,,42.4,11,464,0,464,
Food,Pesto e Pistacchio,,,32,2,64,0,64,
Food,Piccola Selezione,,,26,15,390,39,351,
Food,Mezze Maniche alla Norma,,,28,7,196,28,168,
Food,Salmone Capperi e Limone,,,38,8,304,38,266,
Food,Creamy Spinach,,,8,6,48,0,48,
Food,Crucolo,,,14,6,84,21,63,
