Sales Category,Item Name,Modifier,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
Food,Food Total,,24.67,1741.999996,42982.97,1633.4,41349.57
Food,Dessert Trio,,26,6,156,0,156
Food,Classic Caesar Salad,,15.607142857142858,80,1220,15,1205
Food,Chitarra Cacio e Pepe,,30.914448703999305,121.999998,3847.98,28,3819.98
Food,Red wine special,,0,1,0,0,0
Food,Tiramisu,,20.46153846153846,71,962,294,668
Food,Ravioli del Salumiere,,25.443589743589744,61,1563,0,1563
Food,Side Sauce,,3.566666666666667,11,36.5,2.5,34
Food,APP SPECIAL,,19.5,40,727,54,673
Food,Piccola Selezione,,26.142857142857142,10,261,0,261
Food,Broccolini,,8,19,152,0,152
Food,Marinated Olives,,5.416666666666667,28,146,0,146
Food,Mezze Maniche alla Norma,,32,2,64,0,64
Food,NY Steak,,42.25,9,380,84,296
Food,Salmone Capperi e Limone,,38,1,38,0,38
Food,Branzino,,34.654761904761905,22,763,39,724
Food,Eggplant Parmigiana,,18.142857142857142,23,415,0,415
Food,Bread,,0,52,0,0,0
Food,Fettuccine Nere,,24.5,58,1419,2.4,1416.6
Food,Prosciutto di Parma,,14,14,196,0,196
Food,Crucolo,,14,9,126,0,126
Food,Cavatelli Pomodoro,,21.272727272727273,41,864,83,781
Food,Ossobuco,,36,17,612,0,612
Food,Salame Cioccolato,,12,7,84,0,84
Food,Almond cake,,12,23,276,7.2,268.8
Food,Ribeye,,48.49074074074074,49,2383,264,2119
Food,Verde del Contadino,,9.166666666666666,7,64,0,64
Food,Parma e Bufala Caprese,,28,38,1064,42,1022
Food,Lemon Pannacotta,,12,11,132,0,132
Food,Shrimp Skewers,,29.321428571428573,17,499,87,412
Food,Giardiniera,,5,7,35,0,35
Food,Chicken Marsala,,62,1,62,0,62
Food,Mashed Potatoes,,8.5,11,92,0.8,91.2
Food,Burratina,,18,26,468,9,459
Food,Pasta,,21.11111111111111,6,126,33,93
Food,Pecorino Toscano,,14.142857142857142,15,211,0,211
Food,Lasagna del Salumiere,,22.46153846153846,67,1481,33,1448
Food,Tagliatelle Bolognese,,20.2,78,1565,50,1515
Food,Calamari,,18.99967095571491,53.999999,1025.99,47.5,978.49
Food,Angelo's Meatballs,,18.30000028421081,70.999999,1283,9,1274
Food,Special BOARD,,25,5,125,0,125
Food,Tagliolini al Limone,,28.594444444444445,66,1875.5,28,1847.5
Food,Tagliolini al Tartufo Bianco,,60,2,120,0,120
Food,Cheese Selection,,29,9,261,0,261
Food,Piovra,,20,21,420,0,420
Food,Trio di Prosciutti,,28,14,392,0,392
Food,Filet Mignon,,53.5218253968254,37,1952,52,1900
Food,Coppa Dolce,,12,5,60,6,54
Food,Speck,,12,8,96,0,96
Food,Prosciutto San Daniele,,14,9,126,7,119
Food,Vitello Tonnato,,20,14,280,30,250
Food,Pork Milanese,,32.5,33,1064,32,1032
Food,Lamb Chop,,42.142857142857146,13,547,0,547
Food,Finocchiona,,12,3,36,6,30
Food,Gelato,,10,7,70,0,70
Food,Gelato Famiglia,,22,1,22,0,22
Food,Parmigiano,,14.4,6,86,0,86
Food,Prosciutto Cotto,,11,1,11,0,11
Food,Brie,,14.2,8,113,7,106
Food,Mortadella,,11.25,4,45,0,45
Food,Gorgonzola,,14.25,4,57,0,57
Food,Spaghetti Alla Bottarga,,29.03125,8,237.5,0,237.5
Food,Mixed Exotic Mushroom,,8.285714285714286,10,82,8,74
Food,Tagliolini white truf,,63.71875,21,1321,30,1291
Food,Percorino al Tartufo,,14,18,252,7,245
Food,Pasta Special,,30.044612794612796,49,1488.5,111.2,1377.3
Food,Salame Nostrano,,12.333333333333334,8,98,0,98
Food,Grissini Side,,6,5,30,0,30
Food,Fish SPECIAL,,56,7,392,56,336
Food,Kids Ice cream,,4,5,20,0,20
Food,Fingerling Potatoes,,8,5,40,0.8,39.2
Food,Taleggio,,14,4,56,0,56
Food,Creamy Spinach,,8.2,12,97,0,97
Food,Kids Polpette,,14,5,70,0,70
Food,Roasted Asparagus,,8,7,56,0,56
Food,Kids Pasta,,12.2,10,122,0,122
Food,Filet Special,,60.666666666666664,7,426,0,426
Food,Fish SPECIAL (Sheeps Head),,48.5,23,1090,56,1034
Food,MAGNIFICO $120 FAMILY STYLE ENTREE,,120,17,2040,0,2040
